Day,daily_rossmann
2012-01-01,32.44663382594417
2012-01-02,40.19508369482636
2012-01-03,30.99379947552876
2012-01-04,28.088130774697937
2012-01-05,27.6038526578928
2012-01-06,25.182462073867118
2012-01-07,30.99379947552876
2012-01-08,28.702791461412147
2012-01-09,33.3157400891391
2012-01-10,27.67769176636171
2012-01-11,26.140042223786065
2012-01-12,24.089842833685196
2012-01-13,25.627492376260847
2012-01-14,33.3157400891391
2012-01-15,32.44663382594417
2012-01-16,38.55976773518003
2012-01-17,29.62518740629685
2012-01-18,26.333499916708313
2012-01-19,25.39301777682587
2012-01-20,27.74422312653197
2012-01-21,32.91687489588539
2012-01-22,29.95073891625616
2012-01-23,32.48893712949821
2012-01-24,28.427819988310933
2012-01-25,27.41254070301411
2012-01-26,28.427819988310933
2012-01-27,26.904901060365706
2012-01-28,36.55005427068548
2012-01-29,34.318555008210176
2012-01-30,43.130075888696574
2012-01-31,31.07220521013624
2012-02-01,27.825855412062307
2012-02-02,26.898326898326896
2012-02-03,25.043269870856072
2012-02-04,28.289619668930012
2012-02-05,28.078817733990146
2012-02-06,36.178476695718075
2012-02-07,30.778704054566123
2012-02-08,26.99886320575976
2012-02-09,26.45888594164456
2012-02-10,27.538840469874952
2012-02-11,39.41834028040925
2012-02-12,36.19047619047619
2012-02-13,45.81072935503315
2012-02-14,31.15129596142254
2012-02-15,27.944544906570222
2012-02-16,27.028330319469557
2012-02-17,27.48643761301989
2012-02-18,29.318866787221214
2012-02-19,29.326765188834152
2012-02-20,34.8601171112557
2012-02-21,31.540105957802773
2012-02-22,27.666759612107693
2012-02-23,27.666759612107693
2012-02-24,27.113424419865535
2012-02-25,37.62679307246646
2012-02-26,34.318555008210176
2012-02-27,43.27122153209109
2012-02-28,33.32381428333452
2012-02-29,33.82118464577235
2012-03-01,30.339592108707546
2012-03-02,24.868518121891434
2012-03-03,28.847481021394067
2012-03-04,30.574712643678158
2012-03-05,37.369093231162196
2012-03-06,30.574712643678158
2012-03-07,30.574712643678158
2012-03-08,30.008514261387827
2012-03-09,28.30991911451682
2012-03-10,40.20008514261387
2012-03-11,38.0623973727422
2012-03-12,48.18024983891418
2012-03-13,33.72617488723992
2012-03-14,32.76256989046164
2012-03-15,30.835359896905075
2012-03-16,26.98093990979194
2012-03-17,32.2807673920725
2012-03-18,30.574712643678158
2012-03-19,36.47509578544061
2012-03-20,30.038314176245212
2012-03-21,29.50191570881226
2012-03-22,26.283524904214563
2012-03-23,26.283524904214563
2012-03-24,36.47509578544061
2012-03-25,38.6863711001642
2012-03-26,47.455281882868086
2012-03-27,36.10727969348659
2012-03-28,34.044006568144496
2012-03-29,34.55982484948002
2012-03-30,31.980733442802407
2012-03-31,41.781280788177334
2012-04-01,35.566502463054185
2012-04-02,46.51004168245547
2012-04-03,38.84956422887457
2012-04-04,36.66085638499432
2012-04-05,33.377794619173926
2012-04-06,24.07578628268283
2012-04-07,38.84956422887457
2012-04-08,33.07060755336617
2012-04-09,46.91411769198457
2012-04-10,57.68129224424332
2012-04-11,50.759537174934124
2012-04-12,46.91411769198457
2012-04-13,45.37594989880475
2012-04-14,56.91220834765341
2012-04-15,36.81444991789819
2012-04-16,45.04926108374384
2012-04-17,34.87684729064039
2012-04-18,30.517241379310338
2012-04-19,31.001642036124792
2012-04-20,30.517241379310338
2012-04-21,31.486042692939243
2012-04-22,30.574712643678158
2012-04-23,36.133751306165095
2012-04-24,31.13061650992685
2012-04-25,30.018808777429467
2012-04-26,28.90700104493208
2012-04-27,29.46290491118077
2012-04-28,36.68965517241379
2012-04-29,36.81444991789819
2012-04-30,41.99958370915146
2012-05-01,30.073775989268945
2012-05-02,39.40701681352483
2012-05-03,36.295936538772864
2012-05-04,34.22188302227156
2012-05-05,37.85147667614884
2012-05-06,35.566502463054185
2012-05-07,43.649798477384685
2012-05-08,35.02761606209882
2012-05-09,37.18316166592029
2012-05-10,31.79429765636662
2012-05-11,33.41095685923272
2012-05-12,38.26093446783102
2012-05-13,32.44663382594417
2012-05-14,43.802955665024626
2012-05-15,34.609742747673785
2012-05-16,31.905856595511768
2012-05-17,24.87575259989053
2012-05-18,32.98741105637657
2012-05-19,39.47673782156541
2012-05-20,38.0623973727422
2012-05-21,46.99061404042247
2012-05-22,34.77305438991263
2012-05-23,31.95361754748728
2012-05-24,29.13418070506193
2012-05-25,30.543899126274603
2012-05-26,32.4235236878915
2012-05-27,34.94252873563218
2012-05-28,45.81353767560664
2012-05-29,58.2375478927203
2012-05-30,52.02554278416347
2012-05-31,52.80204342273307
2012-06-01,55.13154533844189
2012-06-02,69.10855683269477
2012-06-03,40.558292282430216
2012-06-04,47.238481599536364
2012-06-05,40.081135902636916
2012-06-06,35.786728484497246
2012-06-07,30.53800830677098
2012-06-08,32.92379020573746
2012-06-09,36.74104124408383
2012-06-10,34.318555008210176
2012-06-11,41.944900565590224
2012-06-12,34.318555008210176
2012-06-13,34.86329397659447
2012-06-14,34.318555008210176
2012-06-15,33.2290770714416
2012-06-16,47.93702921781739
2012-06-17,39.310344827586206
2012-06-18,46.330049261083744
2012-06-19,36.03448275862069
2012-06-20,35.09852216748769
2012-06-21,31.354679802955665
2012-06-22,29.48275862068965
2012-06-23,33.69458128078818
2012-06-24,36.19047619047619
2012-06-25,46.1136712749616
2012-06-26,42.027649769585246
2012-06-27,40.276497695852534
2012-06-28,35.60675883256528
2012-06-29,37.357910906297995
2012-06-30,50.19969278033795
2012-07-01,42.43021346469622
2012-07-02,50.695839464312364
2012-07-03,42.981255198003964
