Date,dmAdj
2012-12-01,89.4751820327552
2012-12-02,80.0153690453482
2012-12-03,90.9922063122855
2012-12-04,82.43183658237
2012-12-05,80.9378636310241
2012-12-06,73.0676861052077
2012-12-07,66.0768440525096
2012-12-08,81.7504857177609
2012-12-09,86.9550342083323
2012-12-10,91.288669836198
2012-12-11,94.4419043631892
2012-12-12,96.3553997612967
2012-12-13,89.9743558084659
2012-12-14,94.2059756821268
2012-12-15,99.4449816719913
2012-12-16,82.0988591308566
2012-12-17,88.4992347897928
2012-12-18,75.2213094886615
2012-12-19,79.5371116656339
2012-12-20,68.086031014859
2012-12-21,72.4973227456805
2012-12-22,99.2476746615351
2012-12-23,64.9385049368079
2012-12-24,94.0397895349204
2012-12-25,36.9380962244921
2012-12-26,43.9083591007392
2012-12-27,52.204183125233
2012-12-28,46.4365334974649
2012-12-29,64.7741181160192
2012-12-30,43.6267048977573
2012-12-31,68.0636305314589
2013-01-01,48.6084427067898
2013-01-02,67.0258900312782
2013-01-03,67.2157677962865
2013-01-04,67.3190882479645
2013-01-05,81.9542069585094
2013-01-06,57.5931018733942
2013-01-07,61.0341905063389
2013-01-08,61.5891563267927
2013-01-09,55.7906536559947
2013-01-10,49.4765712989544
2013-01-11,49.3522613763634
2013-01-12,64.2570661831423
2013-01-13,48.9304644624566
2013-01-14,57.6978229848611
2013-01-15,55.2072645024343
2013-01-16,56.8809862378318
2013-01-17,55.8062741982469
2013-01-18,56.075877401142
2013-01-19,64.5358757443267
2013-01-20,47.8987279810583
2013-01-21,50.0420903210453
2013-01-22,54.4924482167011
2013-01-23,88.3251279590662
2013-01-24,61.9184711386429
2013-01-25,54.6125306015344
2013-01-26,75.3945252058701
2013-01-27,54.9277437270922
2013-01-28,69.3964388924654
2013-01-29,61.6353488747368
2013-01-30,58.6623317190467
2013-01-31,49.320358311349
2013-02-01,53.7273266247611
2013-02-02,65.753866311828
2013-02-03,46.9129252380981
2013-02-04,58.8564227140926
2013-02-05,58.8125265510088
2013-02-06,64.5761103815167
2013-02-07,63.8434406970126
2013-02-08,60.0147650475177
2013-02-09,73.4304566101934
2013-02-10,53.5919783553335
2013-02-11,68.0408906919729
2013-02-12,66.9039028292203
2013-02-13,55.8701014915156
2013-02-14,49.8145534045321
2013-02-15,51.8386720970675
2013-02-16,69.9183184375102
2013-02-17,54.4252400168209
2013-02-18,62.7686898848213
2013-02-19,60.4698728218824
2013-02-20,62.6240847926287
2013-02-21,59.1882357006593
2013-02-22,58.79592500589
2013-02-23,69.9186647509759
2013-02-24,47.3305507377129
2013-02-25,54.6637694188959
2013-02-26,55.674360186103
2013-02-27,59.6042168113826
2013-02-28,60.2201248381929
2013-03-01,63.5694071348436
2013-03-02,86.3373503294539
2013-03-03,58.5367797164041
2013-03-04,65.3054635654068
2013-03-05,62.7611246822515
2013-03-06,57.3751995260187
2013-03-07,53.0984957355636
2013-03-08,53.7273266247611
2013-03-09,70.9638609955068
2013-03-10,53.2393473539939
2013-03-11,61.0892775785264
2013-03-12,61.0453814154426
2013-03-13,58.6218307430265
2013-03-14,63.0991557422013
2013-03-15,62.2476199119515
2013-03-16,80.1290212034948
2013-03-17,55.4526907423617
2013-03-18,68.0408906919729
2013-03-19,65.0431904421921
2013-03-20,65.9179483814678
2013-03-21,58.0016879074561
2013-03-22,54.443669438907
2013-03-23,77.3611679856229
2013-03-24,59.2630922230942
2013-03-25,72.4443942973678
2013-03-26,73.4948595310796
2013-03-27,75.2769290244203
2013-03-28,67.0032277261776
2013-03-29,54.3302152770224
2013-03-30,85.176506324607
2013-03-31,39.1434162347889
2013-04-01,49.191263124741
2013-04-02,66.9444711732819
2013-04-03,67.2107769856777
2013-04-04,64.8142114950615
2013-04-05,60.5922673155985
2013-04-06,79.6387857361524
2013-04-07,51.0939301682914
2013-04-08,74.6090255005477
2013-04-09,72.8089715722037
2013-04-10,59.2359119130468
2013-04-11,57.9363479418368
2013-04-12,52.9830416699498
2013-04-13,66.1260087892336
2013-04-14,48.7736376251263
2013-04-15,61.8335625333377
2013-04-16,67.3718035313384
2013-04-17,101.418215644675
2013-04-18,71.2862902451253
2013-04-19,69.3183269826586
2013-04-20,79.3847362486836
2013-04-21,61.4069703808518
2013-04-22,76.9723101497082
2013-04-23,63.9267630099752
2013-04-24,59.2193837881663
2013-04-25,58.7459728622674
2013-04-26,58.9093791677746
2013-04-27,86.2925874433581
2013-04-28,68.9387966356407
2013-04-29,74.305106684396
2013-04-30,66.0520099829669
2013-05-01,60.842015299288
2013-05-02,75.2769290244203
2013-05-03,71.4689374550453
2013-05-04,82.9851860372563
2013-05-05,54.6608231773449
2013-05-06,71.8919542464848
2013-05-07,66.5723286958763
2013-05-08,61.2564973471875
2013-05-09,56.9992194695432
2013-05-10,79.5715336632859
2013-05-11,91.1752025357271
2013-05-12,62.6303469678661
2013-05-13,76.0975954101702
2013-05-14,73.9253990044206
2013-05-15,65.5623340289426
2013-05-16,62.4020576707045
2013-05-17,57.8208938762231
2013-05-18,75.8017132017801
2013-05-19,44.3079278962587
2013-05-20,61.0892775785264
2013-05-21,75.5589380342624
2013-05-22,73.5075298392519
2013-05-23,70.9141477677197
2013-05-24,67.4576145956304
2013-05-25,77.1518813842498
2013-05-26,62.1512553356631
2013-05-27,72.8787428982462
2013-05-28,63.5546205325696
2013-05-29,60.7079536977889
2013-05-30,49.8145534045321
2013-05-31,66.6568865757254
2013-06-01,79.0050729476789
2013-06-02,54.2883343864735
2013-06-03,68.1945116808294
2013-06-04,69.4672544781227
2013-06-05,66.4241524603725
