Date,RossmannAdj
2013-01-01,44.0088955799406
2013-01-02,69.6186516775015
2013-01-03,53.7649931409162
2013-01-04,59.8625541165259
2013-01-05,80.5942614335991
2013-01-06,76.9357248482332
2013-01-07,94.0088955799406
2013-01-08,59.8625541165259
2013-01-09,62.3015785067698
2013-01-10,56.2040175311601
2013-01-11,53.7649931409162
2013-01-12,68.3991394823796
2013-01-13,44.0088955799406
2013-01-14,53.7649931409162
2013-01-15,45.2284077750625
2013-01-16,39.1308467994527
2013-01-17,35.4723102140869
2013-01-18,39.1308467994527
2013-01-19,69.6186516775015
2013-01-20,65.9601150921357
2013-01-21,79.3747492384771
2013-01-22,53.7649931409162
2013-01-23,50.1064565555503
2013-01-24,48.8869443604284
2013-01-25,44.0088955799406
2013-01-26,50.1064565555503
2013-01-27,36.6918224092088
2013-01-28,58.643041921404
2013-01-29,44.0088955799406
2013-01-30,39.1308467994527
2013-01-31,41.5698711896966
2013-02-01,39.0113491487277
2013-02-02,71.9381784170204
2013-02-03,65.2308613438497
2013-02-04,87.1820808560448
2013-02-05,59.1333003682399
2013-02-06,54.8650076853131
2013-02-07,46.9381784170204
2013-02-08,37.7918369536058
2013-02-09,56.694275977996
2013-02-10,39.6211052462887
2013-02-11,54.2552515877521
2013-02-12,54.2552515877521
2013-02-13,44.4991540267765
2013-02-14,35.3528125633619
2013-02-15,42.0601296365326
2013-02-16,68.2796418316546
2013-02-17,73.1576906121424
2013-02-18,89.6211052462887
2013-02-19,64.0113491487277
2013-02-20,52.4259832950692
2013-02-21,46.3284223194594
2013-02-22,41.4503735389716
2013-02-23,59.1333003682399
2013-02-24,40.2308613438497
2013-02-25,53.6454954901911
2013-02-26,46.3284223194594
2013-02-27,37.7918369536058
2013-02-28,45.1089101243375
2013-03-01,40.8525149449229
2013-03-02,70.933815757931
2013-03-03,53.8606450262237
2013-03-04,85.5679620993944
2013-03-05,51.0151165709391
2013-03-06,48.9825962457359
2013-03-07,42.8850352701261
2013-03-08,41.6655230750042
2013-03-09,55.0801572213457
2013-03-10,44.5110515302887
2013-03-11,65.6492629124026
2013-03-12,42.4785312050855
2013-03-13,46.1370677904513
2013-03-14,42.0720271400448
2013-03-15,42.0720271400448
2013-03-16,78.6573929937034
2013-03-17,75.4053604733782
2013-03-18,94.5110515302888
2013-03-19,68.9012954327278
2013-03-20,59.5517019367928
2013-03-21,46.1370677904513
2013-03-22,48.5760921806952
2013-03-23,66.4622710424839
2013-03-24,51.4216206359798
2013-03-25,81.9094255140286
2013-03-26,64.8362547823213
2013-03-27,58.7386938067115
2013-03-28,50.2021084408578
2013-03-29,26.2183686034595
2013-03-30,74.9988564083375
2013-03-31,23.7793442132156
2013-04-01,48.8255382559059
2013-04-02,73.2157821583449
2013-04-03,59.3946439469628
2013-04-04,52.8905789063124
2013-04-05,53.7035870363937
2013-04-06,74.4352943534669
2013-04-07,65.0857008575319
2013-04-08,82.5653756542799
2013-04-09,58.1751317518408
2013-04-10,57.7686276868002
2013-04-11,52.0775707762311
2013-04-12,50.0450504510278
2013-04-13,56.9556195567189
2013-04-14,41.1019610201335
2013-04-15,52.0775707762311
2013-04-16,48.4190341908652
2013-04-17,47.1995219957433
2013-04-18,41.1019610201335
2013-04-19,45.9800098006213
2013-04-20,69.9637496380197
2013-04-21,67.9312293128165
2013-04-22,86.2239122396457
2013-04-23,60.2076520770441
2013-04-24,49.6385463859872
2013-04-25,53.297082971353
2013-04-26,47.6060260607839
2013-04-27,65.0857008575319
2013-04-28,45.9800098006213
2013-04-29,70.3702537030604
2013-04-30,41.9149691502148
2013-05-01,29.8586018884427
2013-05-02,55.4683579860037
2013-05-03,50.1838051404752
2013-05-04,56.281366116085
2013-05-05,45.3057563599874
2013-05-06,67.6634799372232
2013-05-07,54.6553498559224
2013-05-08,42.8667319697435
2013-05-09,31.4846181486053
2013-05-10,60.7529108315321
2013-05-11,84.3301466038898
2013-05-12,61.1594148965728
2013-05-13,85.9561628640524
2013-05-14,64.411447416898
2013-05-15,45.3057563599874
2013-05-16,47.7447807502313
2013-05-17,52.6228295307191
2013-05-18,66.0374636770606
2013-05-19,20.1025043274671
2013-05-20,46.1187644900687
2013-05-21,57.9073823762476
2013-05-22,57.5008783112069
2013-05-23,45.712260425028
2013-05-24,46.5252685551093
2013-05-25,83.5171384738085
2013-05-26,80.2651059534833
2013-05-27,89.2081953843776
2013-05-28,61.5659189616134
2013-05-29,61.9724230266541
2013-05-30,50.1838051404752
2013-05-31,62.7854311567354
2013-06-01,67.9597395718215
2013-06-02,50.0735607100328
2013-06-03,63.4881948563743
2013-06-04,50.4800647750735
2013-06-05,48.8540485149109
2013-06-06,51.2930729051548
2013-06-07,50.8865688401142
2013-06-08,61.0491704661304
2013-06-09,51.2930729051548
2013-06-10,62.2686826612524
2013-06-11,51.2930729051548
2013-06-12,48.0410403848296
2013-06-13,47.6345363197889
2013-06-14,50.8865688401142
2013-06-15,73.2442924173499
2013-06-16,68.7727477019028
2013-06-17,96.415024124667
2013-06-18,72.024780222228
2013-06-19,64.7077070514963
2013-06-20,54.9516094905207
2013-06-21,53.7320972953987
2013-06-22,60.2361623360491
2013-06-23,52.5125851002768
2013-06-24,63.4881948563743
2013-06-25,57.3906338807646
2013-06-26,54.54510542548
2013-06-27,44.3825037994637
2013-06-28,45.6020159945857
2013-06-29,87.8784387588133
2013-06-30,89.5044550189759
2013-07-01,90.9328088130236
2013-07-02,66.1360608455439
2013-07-03,54.7539470244057
2013-07-04,53.1279307642431
2013-07-05,49.0628901138366
